Date,ClosePrice
2017-10-31,1533.53
2017-11-01,1526.51
2017-11-02,1522.81
2017-11-05,1496.46
2017-11-06,1493.42
2017-11-07,1484.45
2017-11-08,1466.62
2017-11-09,1460.73
2017-11-12,1477.14
2017-11-13,1490.88
2017-11-14,1516.02
2017-11-15,1504.79
2017-11-16,1489.06
2017-11-19,1475.72
2017-11-20,1469.16
2017-11-21,1472.24
2017-11-22,1480.26
2017-11-23,1493.29
2017-11-26,1514.34
2017-11-27,1513.74
2017-11-28,1523.86
2017-11-29,1536.12
2017-11-30,1537.67
2017-12-04,1526.77
2017-12-05,1524.87
2017-12-06,1536.54
2017-12-10,1530.49
2017-12-11,1527.75
2017-12-12,1510.21
2017-12-13,1520.74
2017-12-14,1520.15
2017-12-17,1509.14
2017-12-18,1508.25
2017-12-19,1493.76
2017-12-20,1484.47
2017-12-21,1472.15
2017-12-24,1467.68
2017-12-26,1447.04
2017-12-27,1425.51
2017-12-28,1414.78
2017-12-31,1390.58
2018-01-01,1434.8
2018-01-02,1437.24
2018-01-03,1416.61
2018-01-04,1423.83
2018-01-07,1431.8
2018-01-08,1443.8
2018-01-09,1456.07
2018-01-10,1440.29
2018-01-14,1431.1
2018-01-16,1413.71
2018-01-17,1406.52
2018-01-21,1402.67
2018-01-22,1402.09
2018-01-23,1393.04
2018-01-24,1394.73
2018-01-25,1404.53
2018-01-28,1405.95
2018-01-29,1402.23
2018-01-31,1404.49
2018-02-01,1411.52
2018-02-04,1410.51
2018-02-05,1400.05
2018-02-06,1394.03
2018-02-07,1382.02
2018-02-08,1391.03
2018-02-11,1384.71
2018-02-12,1380.29
2018-02-14,1388.94
2018-02-15,1424.95
2018-02-18,1413.9
2018-02-20,1396.72
2018-02-21,1387.08
2018-02-22,1386.98
2018-02-25,1374.73
2018-02-26,1358.95
2018-02-27,1364.81
2018-02-28,1345.99
2018-03-04,1304.43
2018-03-05,1287.74
2018-03-06,1296.44
2018-03-07,1315.13
2018-03-11,1284.09
2018-03-12,1277.01
2018-03-13,1281.9
2018-03-14,1285.96
2018-03-15,1288.36
2018-03-18,1278.96
2018-03-19,1270.52
2018-03-20,1255.47
2018-03-21,1231.07
2018-03-22,1220.44
2018-03-26,1168.55
2018-03-27,1207.71
2018-03-28,1204.81
2018-03-29,1220.29
2018-04-01,1196.24
2018-04-02,1192.96
2018-04-03,1199
2018-04-04,1226.45
2018-04-05,1250.39
2018-04-08,1294.65
2018-04-09,1287.78
2018-04-10,1270.23
2018-04-11,1273.33
2018-04-12,1277.55
2018-04-15,1280.15
2018-04-16,1297.57
2018-04-17,1331.18
2018-04-18,1363.08
2018-04-19,1388.31
2018-04-22,1438.49
2018-04-23,1410.85
2018-04-24,1394.86
2018-04-25,1386.47
2018-04-26,1357.22
2018-04-29,1349.01
2018-05-02,1360.38
2018-05-03,1366.15
2018-05-06,1353.64
2018-05-07,1345.37
2018-05-08,1361.02
2018-05-09,1356.15
2018-05-10,1348.45
2018-05-14,1338.17
2018-05-15,1333.85
2018-05-16,1338.01
2018-05-17,1339.65
2018-05-20,1339.19
2018-05-21,1336.13
2018-05-22,1332.82
2018-05-23,1328.27
2018-05-24,1318.22
2018-05-27,1300.41
2018-05-28,1336.39
2018-05-29,1327.21
2018-05-30,1322.27
2018-05-31,1307.66
2018-06-03,1273.95
2018-06-04,1268.84
2018-06-06,1282.75
2018-06-07,1257.07
2018-06-10,1231.64
2018-06-11,1241.19
2018-06-12,1239.26
2018-06-13,1242.07
2018-06-14,1247.3
2018-06-17,1233.23
2018-06-18,1235.15
2018-06-19,1226.18
2018-06-20,1217.84
2018-06-21,1218.46
2018-06-24,1219.81
2018-06-25,1210.09
2018-06-26,1194.8
2018-06-27,1199.42
2018-06-28,1198.54
2018-07-01,1184.53
2018-07-02,1179.71
2018-07-03,1180.36
2018-07-04,1188.4
2018-07-05,1224.41
2018-07-08,1224.39
2018-07-09,1206.43
2018-07-10,1205.93
2018-07-11,1205.64
2018-07-12,1191.98
2018-07-15,1200.09
2018-07-16,1212.36
2018-07-17,1204.31
2018-07-18,1198.77
2018-07-19,1193.39
2018-07-22,1181.66
2018-07-23,1194.5
2018-07-24,1199.27
2018-07-25,1194.35
2018-07-26,1191.2
2018-07-29,1194.82
2018-07-30,1194.38
2018-07-31,1191.47
2018-08-01,1193.87
2018-08-02,1191.31
2018-08-05,1189.88
2018-08-06,1189.67
2018-08-07,1188.21
2018-08-08,1187.32
2018-08-09,1180.63
2018-08-12,1163.94
2018-08-13,1174.37
2018-08-14,1180.98
2018-08-15,1209.71
2018-08-16,1210.32
